timecode_ns,devicetime_ns
57004641625834,113704859174249
57004674863558,113704892411787
57004674954021,113704892502249
57004708191002,113704925739124
57004708282127,113704925830249
57004741551904,113704959099949
57004741642205,113704959190249
57004774879379,113704992427286
57004774970342,113704992518249
57004808206854,113705025754624
57004808298479,113705025846249
57004841537994,113705059085661
57004841626582,113705059174250
57004874865358,113705092412999
57004874954609,113705092502249
57004908192823,113705125740324
57004908282748,113705125830249
57004941553816,113705159101161
57004941642904,113705159190249
57004974881233,113705192428499
57004974970984,113705192518249
57005008208679,113705225755786
57005008299142,113705225846249
57005041536071,113705259083124
57005041627197,113705259174249
57005074863618,113705292410449
57005074955418,113705292502249
57005108194692,113705325741499
57005108283442,113705325830249
57005141563171,113705359109786
57005141643634,113705359190249
57005174883108,113705392429661
57005174971696,113705392518249
57005208205213,113705425751699
57005208299764,113705425846249
57005241532684,113705459078786
57005241628147,113705459174249
57005274865007,113705492411036
57005274956221,113705492502249
57005308189976,113705525735786
57005308284439,113705525830249
57005341554403,113705559100161
57005341612491,113705559158249
57005374882960,113705592428661
57005374972548,113705592518249
57005408206679,113705625752249
57005408300680,113705625846249
57005441537885,113705659083324
57005441628811,113705659174249
57005474865317,113705692410624
57005474956942,113705692502249
57005508192773,113705725737949
57005508285073,113705725830249
57005541520241,113705759065286
57005541613205,113705759158249
57005574881214,113705792426124
57005574973340,113705792518249
57005608208685,113705825753449
57005608301485,113705825846249
57005641536168,113705859080786
57005641629631,113705859174249
57005674863673,113705892408124
57005674957799,113705892502249
57005708194922,113705925739161
57005708286011,113705925830249
57005741522391,113705959066499
57005741614141,113705959158249
57005774883308,113705992427324
57005774974234,113705992518249
57005808210766,113706025754661
57005808302354,113706025846249
57005841538225,113706059081999
57005841630475,113706059174249
57005874865664,113706092409324
57005874958590,113706092502249
57005908193076,113706125736661
57005908286664,113706125830249
57005941520397,113706159063949
57005941614697,113706159158249
57005974881391,113706192424824
57005974974816,113706192518249
57006008208842,113706225752124
57006008302968,113706225846249
57006041540068,113706259083199
57006041631119,113706259174249
57006074867557,113706292410536
57006074959270,113706292502249
57006108194996,113706325737824
57006108287421,113706325830249
57006141522484,113706359065161
57006141615573,113706359158249
57006174898386,113706392440911
57006174991724,113706392534249
57006208225875,113706425768249
57006208319876,113706425862249
57006241557064,113706459099286
57006241648027,113706459190249
57006274884541,113706492426624
57006274976167,113706492518249
57006308211971,113706525753949
57006308304271,113706525846249
57006341539413,113706559081286
57006341632376,113706559174249
57006374866805,113706592408574
57006374960481,113706592502249
57006408194247,113706625735911
57006408288585,113706625830249
57006441525440,113706659066999
57006441616690,113706659158249
57006474852831,113706692394286
57006474944795,113706692486249
57006508180274,113706725721624
57006508272899,113706725814249
57006541541204,113706759082449
57006541633004,113706759174249
57006574868646,113706792409786
57006574961109,113706792502249
57006608196114,113706825737124
57006608289239,113706825830249
57006641523671,113706859064449
57006641617472,113706859158249
57006674888499,113706892429036
57006674945712,113706892486249
57006708211930,113706925752624
57006708305553,113706925846249
57006741538934,113706959079949
57006741633237,113706959174249
57006774871711,113706992411949
57006774962011,113706992502249
57006808194097,113707025734161
57006808290186,113707025830249
57006841519004,113707059058949
57006841618304,113707059158249
57006874853648,113707092393536
57006874946362,113707092486249
57006908239276,113707125779036
57006908306489,113707125846249
57006941541848,113707159081499
57006941634598,113707159174249
57006974872206,113707192411749
57006974962706,113707192502249
57007008195745,113707225735162
57007008290833,113707225830249
57007041523206,113707259062449
57007041619007,113707259158249
57007074850667,113707292389786
57007074947130,113707292486249
57007108211590,113707325750624
57007108307215,113707325846249
57007141541452,113707359080324
57007141635378,113707359174249
57007174864077,113707392402786
57007174963540,113707392502249
57007208197805,113707425736374
57007208291680,113707425830249
57007241525227,113707459063699
57007241619778,113707459158249
57007274856445,113707492394749
57007274947946,113707492486249
57007308213696,113707525751874
57007308308071,113707525846249
57007341544868,113707559082911
57007341636207,113707559174249
57007374872342,113707592410249
57007374964342,113707592502249
57007408197052,113707625734824
57007408292477,113707625830249
57007441528237,113707659065874
57007441620613,113707659158249
57007474858248,113707692395749
57007474948748,113707692486249
57007508185708,113707725723074
57007508276884,113707725814249
57007541471468,113707759008699
57007541637019,113707759174249
57007574871279,113707792408374
57007574965155,113707792502249
57007608196577,113707825733536
57007608293290,113707825830249
57007641528425,113707859065249
57007641621425,113707859158249
57007674852560,113707892389249
57007674949561,113707892486249
57007708220245,113707925756786
57007708309708,113707925846249
57007741541921,113707959078286
57007741637885,113707959174249
57007774877193,113707992413449
57007774965993,113707992502249
57007808199697,113708025735911
57007808294036,113708025830249
57007841503763,113708059039749
57007841622263,113708059158249
57007874854855,113708092390786
57007874950318,113708092486249
57007908212508,113708125748324
57007908310433,113708125846249
57007941543523,113708159079374
57007941638398,113708159174249
57007974870888,113708192406699
57007974966440,113708192502249
57008008198582,113708225734036
57008008294795,113708225830249
57008041525997,113708259061374
57008041622872,113708259158249
57008074853417,113708292388699
57008074950967,113708292486249
57008108218154,113708325753249
57008108279155,113708325814249
57008141548462,113708359083661
57008141639048,113708359174249
57008174869024,113708392404699
57008174966576,113708392502249
57008208201516,113708425736699
57008208295068,113708425830249
57008241554970,113708459089661
57008241655560,113708459190249
57008274888583,113708492422874
57008274983959,113708492518249
57008308213213,113708525747411
57008308312051,113708525846249
57008341541544,113708559075699
57008341640094,113708559174249
57008374872529,113708592406536
57008374968243,113708592502249
57008408197266,113708625731124
57008408296391,113708625830249
57008441529614,113708659063324
57008441624539,113708659158249
57008474860599,113708692394161
57008474952688,113708692486249
57008508185335,113708725718749
57008508280836,113708725814249
57008541547484,113708759080749
57008541640984,113708759174249
57008574872207,113708792405324
57008574969133,113708792502249
57008608202030,113708825734999
57008608297281,113708825830249
57008641529504,113708859062324
57008641625429,113708859158249
57008674859339,113708892391999
57008674953589,113708892486249
57008708186799,113708925719324
57008708281724,113708925814249
57008741547622,113708959080161
57008741641711,113708959174249
57008774875073,113708992407499
57008774969823,113708992502249
57008808206223,113709025738536
57008808297936,113709025830249
57008841533678,113709059065874
57008841626054,113709059158249
57008874864636,113709092396699
57008874954187,113709092486249
57008908192119,113709125724036
57008908282333,113709125814249
57008941553119,113709159084874
57008941642494,113709159174249
57008974880540,113709192412199
57008974970590,113709192502249
57009008207972,113709225739536
57009008298686,113709225830249
57009041535446,113709259066874
57009041626822,113709259158249
57009074866674,113709292397911
57009074955012,113709292486249
57009108194023,113709325725249
57009108283023,113709325814249
57009141550306,113709359081374
57009141643182,113709359174250
57009174876992,113709392407749
57009174971493,113709392502249
57009208206091,113709425736661
57009208299680,113709425830249
57009241535309,113709459065786
57009241627772,113709459158249
57009274854274,113709492384699
57009274955824,113709492486249
57009308191971,113709525722249
57009308283971,113709525814249
57009341552138,113709559082374
57009341612013,113709559142249
57009374878550,113709592408699
57009374972101,113709592502249
57009408210192,113709625740199
57009408300242,113709625830249
57009441538084,113709659067949
57009441628384,113709659158249
57009474859062,113709692388786
57009474956526,113709692486249
57009508186542,113709725716124
57009508284667,113709725814249
57009541514009,113709759043449
57009541612809,113709759142249
57009574874996,113709792404286
57009574972959,113709792502249
57009608209009,113709825738124
57009608301134,113709825830249
57009641539059,113709859067999
57009641629309,113709859158249
57009674860285,113709892389036
57009674957499,113709892486249
57009708187823,113709925716374
57009708285698,113709925814249
57009741518206,113709959046661
57009741613794,113709959142249
57009774882896,113709992411249
57009774973897,113709992502249
57009808207771,113710025735999
57009808302022,113710025830249
57009841535221,113710059063324
57009841630147,113710059158249
57009874862652,113710092390661
57009874958240,113710092486249
57009908193723,113710125721699
57009908286274,113710125814249
57009941521184,113710159049036
57009941614397,113710159142249
57009974882102,113710192409874
57009974974477,113710192502249
57010008209575,113710225737199
57010008302626,113710225830249
57010041537061,113710259064536
57010041630774,113710259158249
57010074864547,113710292391874
57010074958923,113710292486249
57010108192021,113710325719199
57010108287071,113710325814249
57010141519496,113710359046536
57010141615209,113710359142249
57010174880454,113710392407374
57010174975329,113710392502249
57010208207935,113710425734699
57010208303485,113710425830249
57010241539141,113710459065749
57010241631641,113710459158249
57010274866622,113710492393074
57010274959797,113710492486249
57010308194115,113710525720411
57010308287953,113710525814249
57010341521572,113710559047749
57010341616072,113710559142249
57010374928064,113710592454199
57010374976114,113710592502249
57010408212042,113710625738036
57010408304255,113710625830249
57010441542059,113710659067911
57010441632397,113710659158249
57010474869538,113710692395249
57010474960539,113710692486249
57010508195592,113710725721161
57010508288680,113710725814249
57010541523072,113710759048499
57010541616822,113710759142249
57010574887524,113710792412824
57010574976949,113710792502249
57010608214080,113710825739324
57010608305005,113710825830249
57010641537361,113710859062499
57010641633112,113710859158249
57010674869567,113710892394286
57010674961531,113710892486249
57010708194992,113710925719624
57010708289617,113710925814249
57010741527062,113710959051624
57010741617687,113710959142249
57010774887887,113710992412249
57010774945887,113710992470249
57010808211420,113711025735661
57010808306008,113711025830249
57010841541378,113711059065536
57010841634092,113711059158249
57010874868800,113711092392874
57010874962175,113711092486249
57010908196242,113711125720199
57010908290292,113711125814249
57010941523746,113711159047536
57010941618459,113711159142249
57010974851049,113711192374824
57010974946474,113711192470249
57011008210368,113711225734074
57011008306543,113711225830249
57011041535344,113711259058874
57011041634720,113711259158249
57011074862057,113711292385411
57011074962896,113711292486249
57011108200521,113711325723699
57011108291072,113711325814249
57011141578785,113711359101786
57011141667248,113711359190249
57011174906299,113711392429124
57011174995424,113711392518249
57011208258262,113711425780911
57011208323600,113711425846249
57011241555934,113711459078449
57011241651734,113711459174249
57011274887048,113711492409499
57011274979799,113711492502249
57011308218296,113711525740536
57011308308009,113711525830249
57011341545772,113711559067874
57011341636148,113711559158249
57011374814073,113711592336036
57011374964286,113711592486249
57011408198999,113711625720824
57011408292425,113711625814249
57011441527438,113711659049124
57011441620563,113711659142249
57011474851613,113711692373161
57011474948702,113711692470249
57011508189290,113711725710699
57011508276840,113711725798249
57011541551854,113711759073124
57011541636979,113711759158249
57011574868367,113711792389499
57011574965118,113711792486249
57011608203506,113711825724499
57011608293256,113711825814249
57011641533719,113711859054574
57011641621395,113711859142249
57011674892358,113711892413074
57011674981533,113711892502249
57011708215102,113711925735699
57011708309652,113711925830249
57011741540206,113711959060699
57011741637757,113711959158249
57011774870464,113711992390786
57011774965927,113711992486249
57011808200329,113712025720661
57011808293917,113712025814249
57011841524309,113712059044499
57011841622059,113712059142249
57011874854346,113712092374374
57011874950221,113712092470249
57011908214070,113712125734036
57011908310283,113712125830249
57011941541523,113712159061374
57011941638398,113712159158249
57011974868864,113712192388699
57011974966415,113712192486249
57012008196463,113712225715999
57012008294714,113712225814249
57012041535547,113712259054949
57012041622847,113712259142249
57012074858061,113712292377374
57012074950936,113712292470249
57012108222601,113712325741749
57012108279101,113712325798249
57012141548844,113712359068124
57012141638966,113712359158249
57012174869573,113712392389374
57012174966449,113712392486249
57012208202560,113712425721824
57012208294987,113712425814249
57012241551810,113712459070536
57012241623525,113712459142249
57012274853668,113712492371999
57012274951918,113712492470249
57012308179817,113712525698161
57012308279905,113712525798249
57012341548623,113712559066874
57012341639998,113712559158249
57012374872361,113712592390449
57012374968161,113712592486249
57012408206149,113712625724074
57012408296325,113712625814249
57012441530113,113712659047874
57012441624488,113712659142249
57012474858976,113712692376574
57012474952651,113712692470249
57012508186476,113712725703911
57012508280815,113712725798249
57012541547478,113712759064749
57012541640978,113712759158249
57012574874966,113712792392074
57012574969141,113712792486249
57012608202466,113712825719411
57012608297305,113712825814249
57012641529967,113712859046749
57012641625468,113712859142249
57012674861121,113712892377786
57012674953584,113712892470249
57012708188464,113712925705124
57012708281589,113712925798249
57012741549410,113712959065949
57012741641710,113712959158249
57012774876905,113712992393286
57012774969868,113712992486249
57012808204401,113713025720624
57012808298027,113713025814249
57012841531844,113713059047949
57012841626144,113713059142249
57012874859175,113713092375249
57012874954175,113713092470249
57012908186638,113713125702574
57012908282313,113713125798249
57012941562526,113713159078324
57012941658452,113713159174249
57012974893715,113713192409374
57012974986590,113713192502249
57013008221178,113713225736699
57013008314729,113713225830249
57013041548658,113713259064036
57013041642872,113713259158249
57013074876161,113713292391374
57013074971036,113713292486249
57013108203626,113713325718699
57013108299176,113713325814249
57013141534697,113713359049749
57013141627197,113713359142249
57013174862148,113713392377074
57013174955324,113713392470249
57013208189772,113713425704411
57013208283611,113713425798249
57013241550759,113713459065249
57013241643760,113713459158249
57013274878150,113713492392574
57013274971825,113713492486249
57013308205428,113713525719874
57013308299804,113713525814249
57013341533191,113713559047199
57013341628241,113713559142249
57013374860579,113713592374536
57013374956292,113713592470249
57013408196437,113713625710286
57013408284401,113713625798249
57013441515046,113713659028786
57013441612509,113713659126249
57013474844817,113713692358449
57013474940617,113713692454249
57013508176925,113713725690449
57013508268726,113713725782249
57013541553959,113713759067374
57013541644834,113713759158249
57013574872590,113713792385874
57013574972965,113713792486249
57013608203615,113713825716699
57013608301165,113713825814249
57013641532315,113713859045199
57013641629365,113713859142249
57013674864704,113713892377411
57013674957543,113713892470249
57013708190807,113713925703374
57013708285682,113713925798249
57013741519478,113713959031874
57013741613853,113713959126249
57013774880325,113713992392699
57013774973876,113713992486249
57013808207804,113714025720036
57013808302017,113714025814249
57013841535284,113714059047374
57013841630159,113714059142249
57013874866476,113714092378411
57013874958315,113714092470249
57013908193971,113714125705749
57013908286471,113714125798249
57013941521375,113714159033074
57013941614550,113714159126249
57013974886119,113714192397624
57013974974744,113714192486249
57014008209860,113714225721249
57014008302860,113714225814249
57014041537301,113714259048574
57014041630976,113714259142249
57014074864754,113714292375911
57014074959092,113714292470249
57014108192158,113714325703199
57014108287208,113714325798249
57014141523337,113714359034286
57014141615300,113714359126249
57014174880483,113714392391374
57014174975359,113714392486249
57014208211732,113714425722449
57014208303532,113714425814249
57014241539242,113714459049786
57014241631705,113714459142249
57014274866703,113714492377074
57014274959879,113714492470249
57014308194214,113714525704411
57014308288052,113714525798249
57014341521737,113714559031749
57014341616237,113714559126249
57014374882759,113714592392574
57014374976435,113714592486249
57014408210221,113714625719911
57014408304560,113714625814249
57014441537684,113714659047249
57014441632685,113714659142249
57014474868846,113714692378286
57014474960810,113714692470249
57014508196309,113714725705624
57014508288935,113714725798249
57014541523759,113714759032949
57014541617060,113714759126249
57014574884680,113714792393786
57014574977143,113714792486249
57014608211955,113714825721124
57014608305080,113714825814249
57014641539357,113714859048449
57014641633159,113714859142249
57014674867251,113714892375786
57014674961715,113714892470249
57014708198383,113714925706824
57014708289808,113714925798249
57014741525812,113714959034161
57014741617900,113714959126249
57014774886798,113714992394999
57014774946049,113714992454249
57014808214329,113715025722324
57014808306255,113715025814249
57014841541787,113715059049661
57014841634376,113715059142249
57014874869246,113715092376999
57014874962497,113715092470249
57014908196583,113715125704286
57014908290546,113715125798249
57014941523877,113715159031624
57014941618503,113715159126249
57014974855192,113715192362661
57014974946781,113715192454249
57015008212436,113715225719786
57015008306900,113715225814249
57015041543624,113715259050824
57015041635050,113715259142249
57015074871111,113715292378161
57015074963200,113715292470249
57015108198574,113715325705499
57015108291324,113715325798249
57015141525962,113715359032824
57015141619388,113715359126249
57015174853473,113715392360161
57015174947561,113715392454249
57015208214591,113715425720999
57015208307842,113715425814249
57015241542033,113715459048324
57015241635958,113715459142249
57015274869487,113715492375661
57015274964075,113715492470249
57015308200676,113715525706699
57015308292227,113715525798249
57015341528246,113715559034036
57015341620460,113715559126249
57015374855728,113715592361374
57015374948603,113715592454249
57015408216653,113715625722199
57015408308703,113715625814249
57015441544090,113715659049536
57015441636803,113715659142249
57015474871528,113715692376874
57015474964903,113715692470249
57015508198915,113715725704161
57015508293003,113715725798249
57015541526353,113715759031499
57015541621103,113715759126249
57015574857552,113715792362574
57015574949227,113715792454249
57015608214833,113715825719661
57015608309421,113715825814249
57015641546108,113715859050749
57015641637609,113715859142249
57015674873583,113715892378036
57015674965797,113715892470249
57015708201101,113715925705374
57015708293977,113715925798249
57015741528557,113715959032699
57015741622107,113715959126249
57015774855954,113715992360036
57015774950168,113715992454249
57015808216932,113716025720874
57015808310308,113716025814249
57015841544382,113716059048199
57015841638432,113716059142249
57015874871678,113716092375536
57015874966393,113716092470249
57015908203080,113716125706574
57015908294755,113716125798249
57015941573421,113716159076999
57015941622670,113716159126249
57015974852123,113716192355911
57015974950464,113716192454249
57016008221058,113716225724199
57016008311108,113716225814249
57016041198181,113716258701499
57016041638920,113716259142249
57016074874973,113716292378824
57016074966399,113716292470249
57016108202793,113716325706161
57016108294882,113716325798249
57016141530614,113716359033499
57016141623365,113716359126249
57016174862045,113716392364536
57016174951759,113716392454249
57016208188435,113716425690750
57016208279935,113716425782249
57016241548387,113716459050411
57016241640226,113716459142249
57016274880921,113716492382824
57016274968346,113716492470249
57016308234667,113716525736449
57016308328467,113716525830249
57016341562088,113716559063749
57016341656588,113716559158249
57016374871370,113716592372911
57016374984709,113716592486249
57016408215079,113716625716499
57016408312830,113716625814249
57016441548775,113716659050074
57016441640950,113716659142249
57016474870196,113716692371374
57016474969071,113716692470249
57016508201354,113716725702411
57016508297192,113716725798249
57016541528812,113716759029749
57016541625313,113716759126249
57016574856252,113716792357074
57016574953427,113716792454249
57016608183734,113716825684411
57016608281573,113716825782249
57016641544830,113716859045249
57016641641831,113716859142249
57016674872296,113716892372574
57016674969971,113716892470249
57016708199737,113716925699874
57016708298112,113716925798249
57016741527203,113716959027199
57016741626253,113716959126249
57016774858430,113716992358286
57016774954394,113716992454249
57016808194886,113717025694624
57016808282511,113717025782249
57016841555776,113717059055449
57016841642577,113717059142249
57016874883238,113717092382786
57016874970702,113717092470249
57016908210701,113717125710124
57016908298827,113717125798249
57016941538150,113717159037449
57016941626950,113717159126249
57016974865608,113717192364787
57016974955071,113717192454249
57017008196775,113717225695824
57017008283201,113717225782249
57017041557767,113717259056662
57017041643355,113717259142249
57017074881545,113717292380286
57017074971509,113717292470249
57017108212708,113717325711324
57017108299633,113717325798249
57017141540145,113717359038661
57017141627734,113717359126249
57017174867752,113717392365999
57017174956002,113717392454249
57017208195245,113717425693324
57017208284170,113717425782249
57017241559975,113717459057874
57017241612350,113717459110249
57017274883442,113717492381499
57017274972190,113717492470249
57017308210258,113717525708786
57017308299721,113717525798249
57017341541582,113717559039874
57017341627957,113717559126249
57017374869143,113717592367199
57017374956193,113717592454249
57017408196679,113717625694499
57017408284430,113717625782249
57017444047383,113717661544949
57017444140683,113717661638249
57017477374919,113717694872249
57017477468920,113717694966249
57017508270888,113717725767999
57017508365138,113717725862249
57017541598449,113717759095324
57017541693374,113717759190249
57017574929735,113717792426374
57017575021611,113717792518249
57017608257280,113717825753699
57017608349830,113717825846249
57017641592240,113717859088499
57017641677991,113717859174249
57017674927535,113717892423661
57017675006123,113717892502249
57017708241704,113717925737699
57017708334254,113717925830249
57017741567797,113717959063661
57017741662385,113717959158249
57017774898016,113717992393749
57017774990516,113717992486249
57017808227059,113718025722661
57017808318647,113718025814249
57017841553122,113718059048574
57017841646797,113718059142249
57017874874597,113718092369874
57017874974972,113718092470249
57017908213584,113718125708786
57017908303047,113718125798249
57017941542159,113718159037286
57017941631122,113718159126249
57017974868407,113718192363411
57017974959246,113718192454249
57018008195992,113718225690749
57018008287492,113718225782249
57018041523441,113718259018074
57018041615616,113718259110249
57018074884293,113718292378911
57018074975632,113718292470250
57018108211744,113718325706250
57018108303744,113718325798249
57018141539181,113718359033574
57018141631856,113718359126249
57018174868791,113718392363036
57018174960005,113718392454249
57018208193856,113718425687824
57018208288282,113718425782249
57018241520281,113718459013949
57018241616581,113718459110249
57018274881293,113718492374824
57018274976718,113718492470249
57018308208626,113718525702124
57018308304752,113718525798249
57018341536160,113718559029449
57018341632960,113718559126249
57018374867318,113718592360536
57018374961031,113718592454249
57018408191019,113718625684124
57018408289144,113718625782249
57018441518456,113718659011449
57018441617256,113718659110249
57018474881119,113718692373999
57018474945369,113718692438249
57018508182481,113718725675249
57018508273481,113718725766249
57018541539506,113718759032161
57018541633594,113718759126249
57018574863998,113718792356536
57018574961712,113718792454249
57018608199784,113718825692449
57018608289581,113718825782249
57018641526302,113718859019574
57018641616978,113718859110249
57018674882239,113718892375124
57018674977365,113718892470249
57018708206000,113718925698499
57018708305751,113718925798249
57018741542136,113718959034249
57018741634137,113718959126249
57018774871184,113718992362911
57018774962523,113718992454249
57018808196100,113719025687499
57018808290851,113719025782249
57018841522166,113719059013411
57018841619005,113719059110249
57018874884358,113719092375449
57018874979159,113719092470249
57018908215554,113719125706499
57018908307305,113719125798249
57018941540250,113719159031074
57018941635426,113719159126249
57018974871421,113719192362124
57018974963547,113719192454249
57019008192585,113719225683161
57019008291674,113719225782249
57019041520069,113719259010499
57019041619820,113719259110249
57019074881040,113719292371324
57019074979965,113719292470249
57019108208523,113719325698661
57019108308111,113719325798249
57019141539707,113719359029700
57019141636257,113719359126249
57019174867189,113719392357036
57019174964403,113719392454249
57019208194673,113719425684374
57019208292548,113719425782249
57019241522144,113719459011699
57019241620694,113719459110249
57019274883127,113719492372536
57019274980840,113719492470249
57019308210609,113719525699874
57019308308985,113719525798249
57019341538075,113719559027199
57019341637126,113719559126249
57019374865516,113719592354499
57019374965267,113719592454249
57019408196733,113719625685574
57019408293408,113719625782249
57019441524174,113719659012874
57019441621549,113719659110249
57019474851640,113719692340199
57019474949690,113719692438249
57019508179118,113719725667536
57019508277831,113719725766249
57019541573222,113719759061499
57019541637973,113719759126249
57019574873215,113719792361374
57019574966090,113719792454249
57019608201801,113719825689874
57019608294176,113719825782249
57019641524000,113719859011874
57019641622375,113719859110249
57019674860115,113719892347824
57019674950541,113719892438249
57019708218565,113719925706124
57019708310690,113719925798249
57019741595589,113719959082999
57019741670840,113719959158249
57019774908189,113719992395449
57019774998989,113719992486249
57019808239388,113720025726499
57019808327139,113720025814249
57019841566863,113720059053824
57019841655288,113720059142249
57019874891562,113720092378374
57019874983437,113720092470249
57019908219017,113720125705699
57019908311567,113720125798249
57019941542721,113720159029324
57019941639646,113720159126249
57019974870162,113720192356661
57019974967750,113720192454249
57020008201304,113720225687699
57020008295854,113720225782249
57020041528755,113720259015036
57020041623969,113720259110249
57020074856651,113720292342786
57020074952115,113720292438249
57020108190601,113720325676574
57020108280276,113720325766249
57020141550682,113720359036449
57020141640482,113720359126249
57020174880007,113720392365574
57020174968682,113720392454249
57020208203082,113720425688449
57020208296882,113720425782249
57020241532196,113720459017374
57020241625072,113720459110249
57020274858504,113720492343536
57020274953218,113720492438249
57020308182626,113720525667574
57020308281301,113720525766249
57020341548847,113720559033749
57020341641347,113720559126249
57020374871830,113720592356574
57020374969505,113720592454249
57020408206038,113720625690624
57020408297664,113720625782250
57020441535321,113720659019749
57020441625822,113720659110249
57020474856930,113720692341199
57020474953980,113720692438249
57020508188550,113720725672661
57020508282138,113720725766249
57020541642297,113720759126249
57020541870048,113720759353999
57020574878655,113720792362449
57020574970455,113720792454249
57020608202650,113720825686286
57020608298613,113720825782249
57020641528971,113720859012449
57020641626772,113720859110249
57020674860125,113720892343699
57020674954672,113720892438249
57020708186928,113720925671036
57020708282143,113720925766249
57020741548292,113720959031874
57020741642668,113720959126249
57020774876142,113720992359199
57020774971193,113720992454249
57020808203846,113721025686536
57020808299558,113721025782249
57020841534822,113721059017574
57020841627497,113721059110249
57020874862289,113721092344911
57020874955627,113721092438249
57020908189823,113721125672249
57020908283823,113721125766249
57020941550813,113721159033074
57020941643988,113721159126249
57020974877484,113721192359661
57020974972073,113721192454249
57021008204952,113721225686999
57021008300202,113721225782249
57021041532368,113721259014286
57021041628331,113721259110249
57021074859815,113721292341624
57021074956440,113721292438249
57021108190913,113721325672661
57021108284501,113721325766249
57021141551933,113721359033536
57021141612647,113721359094249
57021174879462,113721392360824
57021174972887,113721392454249
57021208206986,113721425688161
57021208301075,113721425782249
57021241534512,113721459015499
57021241629263,113721459110249
57021274862000,113721492342824
57021274957425,113721492438249
57021308189424,113721525670161
57021308285513,113721525766249
57021341550350,113721559030999
57021341645600,113721559126249
57021374877778,113721592358324
57021374973704,113721592454249
57021408205270,113721625685661
57021408301858,113721625782249
57021441536462,113721659016699
57021441630012,113721659110249
57021474863953,113721692344036
57021474958166,113721692438249
57021508191445,113721725671374
57021508286320,113721725766249
57021541518924,113721758998699
57021541614475,113721759094249
57021574879913,113721792359536
57021574974627,113721792454249
57021608207397,113721825686874
57021608302773,113721825782249
57021641534868,113721859014199
57021641630919,113721859110249
57021674862351,113721892341499
57021674959102,113721892438249
57021708193682,113721925672574
57021708287358,113721925766249
57021741521109,113721958999874
57021741615484,113721959094249
57021774880131,113721992358786
57021774975595,113721992454249
57021808213873,113722025692411
57021808303711,113722025782249
57021841540153,113722059018574
57021841631828,113722059110249
57021874867598,113722092345911
57021874959936,113722092438249
57021908194982,113722125673199
57021908288032,113722125766249
57021941522449,113722159000536
57021941616163,113722159094249
57021974902043,113722192379999
57021974992294,113722192470249
57022008229499,113722225707324
57022008320425,113722225798249
57022041559930,113722259037624
57022041648555,113722259126249
57022074882533,113722292360074
57022074976709,113722292454249
57022108212604,113722325689949
57022108304905,113722325782249
57022141540034,113722359017286
57022141632997,113722359110249
57022174871148,113722392348324
57022174961074,113722392438249
57022208198751,113722425675661
57022208289339,113722425766249
57022241526334,113722459003000
57022241617584,113722459094249
57022274891118,113722492367536
57022274945831,113722492422249
57022308214485,113722525691161
57022308305571,113722525782249
57022341541305,113722559018500
57022341633055,113722559110249
57022374868831,113722592345786
57022374961295,113722592438249
57022408200159,113722625676874
57022408289534,113722625766249
57022441531435,113722659007911
57022441617774,113722659094249
57022474855263,113722692331499
57022474946014,113722692422249
57022508182827,113722725658824
57022508274253,113722725750249
